389,"Клубника в  шок глазури ДВ 150гр",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=389&find_section_section=-1&WF=Y,,,,
450,"Саха-Мед ст/б 140 гр",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=450&find_section_section=-1&WF=Y,,,,
687,"Котлеты из нерки вес. в/у ",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=687&find_section_section=-1&WF=Y,,,,
697,"Омуль филе нарезка АС вес",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=697&find_section_section=-1&WF=Y,,,,
811,"Таймень кусок см ",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=811&find_section_section=-1&WF=Y,,,,
322,"Гриб белый Алтай 100 гр ",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=322&find_section_section=-1&WF=Y,,,,
434,"Подберезовики и подосиновики домашние маринованные",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=434&find_section_section=-1&WF=Y,,,,
857,"Боровики жареные 0,5 л",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=857&find_section_section=-1&WF=Y,"313     гр.","464     гр.","46     гр.","60.7 ккал"
868,"Груздь соленый 0.5 л",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=868&find_section_section=-1&WF=Y,"16     гр.","09     гр.","07     гр.","16.3 ккал"
887,"Лисички жареные 0,5л",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=887&find_section_section=-1&WF=Y,"313     гр.","464     гр.","46     гр.","60.7 ккал"
324,"Орех кедровый очищенный 200гр",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=324&find_section_section=-1&WF=Y,"14     гр.","4     гр.","69     гр.","690 ккал"
325,"Орех кедровый очищенный 500гр",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=325&find_section_section=-1&WF=Y,"14     гр.","4     гр.","69     гр.","690 ккал"
910,"Орех кедровый очищенный 300 гр.",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=910&find_section_section=-1&WF=Y,"17     гр.","105     гр.","63     гр.","677 ккал"
698,"Папоротник соленый ву",http://dev1.azbuka-severa.dev-v.ru/bitrix/admin/iblock_element_edit.php?IBLOCK_ID=5&type=catalog&lang=ru&ID=698&find_section_section=-1&WF=Y,"24     гр.","0     гр.","65     гр.","35 ккал"
